GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
ygaU;-0.954557121;-4.321928024;1.658554316;-4.132894039;no
pheS;-1.465938449;-4.643856049;1.092207432;-4.158429146;no
bamC;-1.518701077;-4.1844244;0.961993635;-4.158429146;no
fadL;-0.296899289;-4.293358803;0.7629866;-4.158429146;no
galF;-1.49817872;-4.321928024;0.993493259;-4.1844244;no
rnc;-1.937878251;-4.680382252;0.64339447;-4.1844244;no
alaA;-1.560642838;-4.237864017;1.249141932;-4.1844244;no
oxyR;-1.852042079;-4.1844244;0.951587796;-4.1844244;no
skp;-1.258425117;-4.293358803;1.219710588;-4.210896969;no
trxA;-2.029146433;-4.380821705;0.437227696;-4.210896969;no
ygfZ;-0.951763749;-3.77595973;0.947853148;-4.210896969;no
rpsR;-1.42662549;-4.442222118;0.917622745;-4.237864017;no
zapB;-1.63486743;-4.26534462;0.730313897;-4.237864017;no
yfgM;-1.518701077;-4.132894039;1.022900462;-4.237864017;no
lacI;-2.139235735;-4.083141327;0.263034463;-4.26534462;no
pheT;-1.643856168;-1.494109154;1.0186342;-4.26534462;no
nfsB;-1.477944255;-4.321928024;1.136191368;-4.26534462;no
engB;-1.785875201;-4.351074696;0.390667677;-4.26534462;no
ilvE;-1.200912714;-4.237864017;2.287767649;-4.26534462;no
rpsN;-1.514573216;-4.53951931;0.891419172;-4.293358803;no
ssb;-1.617056131;-3.878321409;0.678071916;-4.293358803;no
rpsH;-1.454031587;-4.473931313;0.903809607;-4.321928024;no
wzzB;-1.399730206;-4.795859337;1.178873897;-4.321928024;no
sdhA;-0.049904875;-4.506352901;2.399991274;-4.351074696;no
bamA;-1.332789063;-4.107803345;1.029276133;-4.351074696;no
rpsO;-1.418889761;-4.680382252;0.890641212;-4.351074696;no
metG;-1.932361364;-4.573466778;0.79077208;-4.351074696;no
map;-1.343732476;-4.321928024;0.760433853;-4.351074696;no
pdxB;-1.736965537;-4.058893681;0.969380736;-4.351074696;no
deoB;-0.77595973;-4.442222118;1.512985349;-4.351074696;no
rplC;-1.473931074;-4.756330967;0.844787359;-4.380821705;no
carA;-2.307572842;-4.53951931;0.923719645;-4.380821705;no
rcsB;-1.227692127;-4.717856884;1.403267741;-4.380821705;no
rpsM;-1.369594574;-4.573466778;0.965691924;-4.411195278;no
hldE;-2.126580477;-4.237864017;0.323081851;-4.411195278;no
glnQ;-0.756330907;-4.293358803;1.579180121;-4.411195278;no
fabB;-2.279283762;-4.1844244;0.626672804;-4.442222118;no
pckA;0.044044357;-4.321928024;1.504874587;-4.442222118;no
cyoA;-1.251538754;-4.53951931;0.774839759;-4.442222118;no
fkpA;-1.098505497;-4.756330967;1.144046426;-4.442222118;no
rhlB;-1.60384047;-3.573466778;0.812292874;-4.442222118;no
rpmA;-1.369594574;-4.058893681;0.989865601;-4.473931313;no
yfbU;-1.450084448;-4.756330967;1.335711837;-4.473931313;no
oppD;-1.2757864;-4.573466778;1.756169319;-4.473931313;no
mtlD;-1.465938449;-4.442222118;1.092883945;-4.473931313;no
dacC;-1.046921015;-4.411195278;1.527070284;-4.473931313;no
rplJ;-1.473931074;-4.680382252;0.927517235;-4.506352901;no
pflB;-1.148800611;-4.878321171;1.584481597;-4.506352901;no
lysA;-1.481968522;-4.411195278;0.934327781;-4.506352901;no
surA;-1.369594574;-4.53951931;0.967168629;-4.506352901;no
pykA;-0.55004245;-4.237864017;1.674912572;-4.506352901;no
fklB;-1.18442452;-4.53951931;0.928275585;-4.506352901;no
mpl;-1.780908942;-4.506352901;0.541019201;-4.506352901;no
rpmC;-1.539519429;-4.965784073;0.896853089;-4.53951931;no
deoD;-0.954557121;-4.608232021;1.215368032;-4.53951931;no
mlaC;-1.52699244;-4.717856884;0.977463126;-4.53951931;no
pmbA;-1.52699244;-4.442222118;0.856786549;-4.53951931;no
hflK;-1.535331726;-4.53951931;0.976730287;-4.53951931;no
rpsS;-1.457989693;-4.608232021;0.935082495;-4.573466778;no
nusA;-1.311148286;-4.506352901;0.986956954;-4.573466778;no
accA;-1.905088425;-4.380821705;0.667210937;-4.573466778;no
ridA;-1.017417073;-4.608232021;1.269631624;-4.573466778;no
tdh;-0.803392947;-4.506352901;0.736388385;-4.573466778;no
mreB;-1.816037059;-4.643856049;0.610700011;-4.608232021;no
adk;-1.703689337;-4.836501122;1.136191368;-4.608232021;no
proQ;-1.60384047;-4.643856049;0.973060191;-4.608232021;no
atpA;-1.60823226;-4.717856884;0.699551582;-4.643856049;no
rplX;-1.490050793;-4.380821705;0.896853089;-4.643856049;no
atpF;-1.662003517;-4.53951931;0.685267448;-4.643856049;no
kdsA;-1.639354706;-4.53951931;0.893750548;-4.643856049;no
trxB;-1.666576266;-4.878321171;0.687060714;-4.643856049;no
yqjD;-0.846843243;-4.680382252;1.684818745;-4.643856049;no
pyrD;-1.888968587;-5.573466778;0.929033518;-4.643856049;no
atpH;-1.599462032;-4.878321171;0.716332495;-4.680382252;no
iscU;-0.886299491;-5.058893681;1.387913942;-4.680382252;no
rplT;-1.531156063;-4.756330967;0.856786549;-4.680382252;no
osmY;-1.862496495;-4.965784073;1.678071976;-4.680382252;no
hpt;-2.380821705;-4.836501122;0.238786802;-4.680382252;no
groS;-0.954557121;-3.573466778;1.246104002;-4.717856884;no
sodB;-1.63486743;-4.795859337;1.498250842;-4.717856884;no
ftsZ;-1.139235854;-4.608232021;1.691087484;-4.717856884;no
prlC;-0.816037118;-4.011588097;1.534061551;-4.717856884;no
hflC;-1.564904809;-4.878321171;0.890641212;-4.717856884;no
hemL;-1.741782665;-4.506352901;0.919149399;-4.717856884;no
damX;-1.862496495;-4.608232021;0.738119245;-4.717856884;no
rplI;-1.510457039;-4.965784073;0.895302653;-4.756330967;no
rpsF;-1.450084448;-4.965784073;0.880489588;-4.756330967;no
talB;-0.897006035;-4.921390057;1.656267524;-4.756330967;no
infB;-1.248107791;-4.756330967;0.978927732;-4.756330967;no
orn;-1.988504291;-4.643856049;0.605968297;-4.756330967;no
rplF;-1.469929218;-5.011588097;0.91991204;-4.795859337;no
iscS;-1.177881718;-4.878321171;0.969380736;-4.795859337;no
ppc;-1.564904809;-4.717856884;1.551392913;-4.795859337;no
ybaB;-1.60384047;-4.836501122;1.0093472;-4.795859337;no
purE;-2.336427689;-5.011588097;0.344828486;-4.795859337;no
rplK;-1.369594574;-5.011588097;0.922197819;-4.836501122;no
dapD;-1.873027086;-4.836501122;0.958285868;-4.836501122;no
fabA;-1.403541923;-4.878321171;1.137503505;-4.836501122;no
nfuA;-1.279283762;-4.878321171;0.89452672;-4.836501122;no
ppsA;-1.286304235;-4.473931313;0.564622045;-4.836501122;no
rpsI;-1.539519429;-5.158429146;0.929033518;-4.878321171;no
tpx;-1.461958528;-5.380821705;1.453649282;-4.878321171;no
sucC;0.177598983;-5.26534462;2.529321194;-4.878321171;no
tpiA;-1.960159779;-4.965784073;0.898401856;-4.878321171;no
rplN;-1.50225997;-4.795859337;0.924480021;-4.921390057;no
ppa;-1.577767015;-5.158429146;0.878921449;-4.921390057;no
alaS;-1.756330848;-5.26534462;0.978195667;-4.921390057;no
sucD;0.191562593;-5.506352901;2.458119392;-4.921390057;no
gyrB;-1.77595973;-4.506352901;0.690640569;-4.921390057;no
rmlA1;-1.490050793;-5.107803345;1.015783072;-4.921390057;no
oppA;-0.753895998;-5.058893681;2.150559664;-4.965784073;no
sodA;-0.943416536;-5.058893681;0.625738025;-4.965784073;no
rplS;-1.49817872;-5.107803345;0.867105722;-4.965784073;no
rpsQ;-1.518701077;-5.058893681;0.834306717;-4.965784073;no
pal;-1.522840858;-5.011588097;1.281549931;-4.965784073;no
aspC;-0.623709619;-5.380821705;1.875386834;-4.965784073;no
recA;-1.293358922;-4.878321171;0.650764585;-4.965784073;no
fabF;-2.184424639;-5.107803345;0.67446059;-4.965784073;no
dapA;-1.531156063;-4.965784073;1.045442939;-4.965784073;no
purU;-2.145605326;-5.573466778;1.192825437;-4.965784073;no
pgl;-1.237863898;-4.836501122;1.392317414;-4.965784073;no
ppiA;-1.77595973;-4.643856049;0.738983989;-4.965784073;no
sucB;-0.703689396;-5.210896969;1.868291736;-5.011588097;no
gcvT;-0.637109339;-5.26534462;1.846794128;-5.011588097;no
nuoC;-0.982790768;-4.965784073;1.334568262;-5.011588097;no
speB;-1.026205063;-4.680382252;0.911499858;-5.011588097;no
bamD;-1.365871429;-4.878321171;1.107687831;-5.011588097;no
rplA;-1.461958528;-5.321928024;0.874206722;-5.058893681;no
rplD;-1.469929218;-5.26534462;0.893750548;-5.058893681;no
lpdA;-1.60823226;-5.011588097;1.124989748;-5.058893681;no
rplP;-1.531156063;-5.321928024;0.906890571;-5.058893681;no
rpsK;-1.384583712;-5.321928024;0.923719645;-5.107803345;no
rpmD;-1.481968522;-5.058893681;0.921436369;-5.107803345;no
rplU;-1.564904809;-5.158429146;0.82863158;-5.107803345;no
typA;-2.029146433;-5.210896969;0.554834366;-5.107803345;no
purM;-2.258424997;-5.878321171;0.278579623;-5.107803345;no
ileS;-1.514573216;-4.237864017;1.053806424;-5.107803345;no
rpmF;-1.272297263;-5.058893681;1.043344617;-5.107803345;no
hldD;-2.095419645;-5.158429146;0.366252303;-5.107803345;no
gyrA;-1.388355494;-4.351074696;1.112366438;-5.107803345;no
pepD;-1.506352663;-4.921390057;1.201633811;-5.107803345;no
atpC;-1.680382013;-5.107803345;0.673556447;-5.107803345;no
fabH;-2;-5.158429146;0.551885068;-5.107803345;no
eda;-2.20423317;-5.442222118;1.109694839;-5.107803345;no
acrA;-1.296899319;-5.380821705;0.949348152;-5.107803345;no
folD;-1.954557061;-5.442222118;0.55973649;-5.107803345;no
glmU;-2.351074457;-5.011588097;0.316145748;-5.107803345;no
rpiA;-1.862496495;-5.210896969;0.683471859;-5.107803345;no
yhbY;-1.816037059;-5.321928024;0.592636466;-5.107803345;no
rpsE;-1.461958528;-5.158429146;0.956800103;-5.158429146;no
rpsL;-1.415037513;-5.058893681;0.925239921;-5.158429146;no
ompT;-2.293359041;-3.083141327;1.427069664;-5.158429146;no
purT;-3.158429384;-5.573466778;0.027154127;-5.158429146;no
tolC;-1.395928741;-5.158429146;1.002882481;-5.158429146;no
rfbB;-1.461958528;-5.380821705;0.964953065;-5.158429146;no
rfbD;-1.486003995;-5.210896969;1.006477594;-5.158429146;no
tsf;-1.60823226;-5.380821705;0.969380736;-5.210896969;no
atpD;-1.643856168;-5.321928024;0.670840323;-5.210896969;no
rplY;-1.380821824;-5.442222118;1.006477594;-5.210896969;no
ppiB;-2.011588097;-5.442222118;0.635057807;-5.210896969;no
can;-1.905088425;-5.011588097;0.711054265;-5.210896969;no
tktA;-0.035046931;-5.380821705;2.456017494;-5.26534462;no
pfkA;-1.905088425;-5.573466778;0.945607722;-5.26534462;no
dnaJ;-0.870387256;-4.321928024;1.314406514;-5.26534462;no
fusA;-1.675765514;-5.573466778;0.874206722;-5.321928024;no
ompA;-1.518701077;-5.643856049;1.458906889;-5.321928024;no
aceF;-2.689659834;-5.321928024;0.725959301;-5.321928024;no
icd;-1.032093644;-5.506352901;1.771885514;-5.321928024;no
rplM;-1.531156063;-5.573466778;0.834306717;-5.321928024;no
glnA;-1.599462032;-5.380821705;1.457856894;-5.321928024;no
atpG;-1.630393863;-5.442222118;0.69510293;-5.321928024;no
aspS;-1.621488452;-5.643856049;0.974529326;-5.321928024;no
lon;-0.915935814;-4.442222118;1.376290321;-5.321928024;no
upp;-1.564904809;-5.573466778;1.017209291;-5.321928024;no
glyQ;-1.954557061;-5.380821705;0.568518639;-5.321928024;no
tolB;-2.101598263;-4.878321171;0.878921449;-5.321928024;no
bioB;-3.023269653;-5.380821705;1.35332334;-5.321928024;no
degP;-1.977099538;-5.573466778;0.532067537;-5.321928024;no
ghrB;-1.831358075;-5.321928024;0.843179941;-5.321928024;no
"tufB;tufA";-1.582080007;-5.573466778;0.882056117;-5.380821705;no
aceE;-2.522840738;-5.506352901;0.793271661;-5.380821705;no
rpsD;-1.442222357;-5.506352901;0.919149399;-5.380821705;no
pgk;-1.761213183;-5.506352901;0.930548131;-5.380821705;no
serA;-2.258424997;-5.321928024;1.776946187;-5.380821705;no
adhE;-1.377069712;-5.717856884;1.684818745;-5.442222118;no
gpmA;-2.029146433;-5.573466778;0.79576689;-5.442222118;no
sucA;-0.340075403;-5.573466778;2.113367081;-5.442222118;no
ettA;-1.446148038;-5.795859337;0.777367115;-5.442222118;no
tsx;-2.434402704;-5.643856049;0.151858747;-5.442222118;no
prfC;-1.85725987;-2.564904928;0.466757596;-5.442222118;no
ribE;-1.556393385;-5.643856049;0.857582986;-5.442222118;no
ppiC;-2.373327255;-5.158429146;0.078609824;-5.442222118;no
purA;-2.139235735;-5.643856049;0.770617604;-5.506352901;no
carB;-2.120294094;-5.442222118;1.020057678;-5.506352901;no
serS;-2.035046816;-5.26534462;0.747602224;-5.506352901;no
rpsC;-1.518701077;-5.795859337;0.88752526;-5.573466778;no
rplV;-1.573466897;-5.795859337;0.874993622;-5.573466778;no
rplO;-1.510457039;-5.210896969;0.909197092;-5.573466778;no
gltX;-1.888968587;-5.643856049;0.5772475;-5.573466778;no
gpmI;-2.064917564;-5.380821705;0.794103861;-5.573466778;no
pyrC;-1.689659834;-4.158429146;1.259423137;-5.573466778;no
hisS;-1.761213183;-5.717856884;0.783247054;-5.573466778;no
ompC;-1.454031587;-5.643856049;0.847996891;-5.643856049;no
rpoC;-1.514573216;-5.878321171;1.027861834;-5.643856049;no
flu;-1.67116344;-3.365871429;1.371837616;-5.643856049;no
dacA;-1.862496495;-5.795859337;0.669026792;-5.643856049;no
gpt;-1.954557061;-5.965784073;0.360645235;-5.643856049;no
fbaA;-1.621488452;-6.158429146;0.916094422;-5.717856884;no
bcp;-2.126580477;-5.795859337;0.878136814;-5.717856884;no
ptsG;-2.132894278;-5.506352901;0.716332495;-5.717856884;no
pyrG;-1.910501838;-6.26534462;0.579180121;-5.795859337;no
ompX;-3.197599888;-6.058893681;0.172487482;-5.795859337;no
asnS;-2.046921015;-6.26534462;0.731183231;-5.795859337;no
eno;-2.15200305;-6.158429146;0.897627711;-5.878321171;no
glyS;-1.937878251;-6.058893681;0.615416229;-5.878321171;no
prs;-1.994240761;-5.965784073;0.562669814;-5.878321171;no
htpG;-0.836501241;-5.321928024;1.395611286;-5.965784073;no
dnaK;-0.687334836;-5.717856884;1.570948601;-6.058893681;no
glmS;-2.689659834;-6.058893681;0.324234545;-6.058893681;no
leuS;-1.617056131;-5.506352901;0.962734103;-6.058893681;no
suhB;-1.200912714;-6.643856049;0.608809233;-6.058893681;no
pgi;-1.948975921;-6.506352901;0.789937854;-6.158429146;no
accC;-2.351074457;-6.380821705;0.388465106;-6.158429146;no
ychF;-2.046921015;-2.26534462;0.616357684;-6.158429146;no
ackA;-2.867752314;-5.795859337;0.124328181;-6.26534462;no
purF;-2.82623291;-5.573466778;-0.142417014;-6.26534462;no
purB;-2.190997362;-6.643856049;0.638768971;-6.380821705;no
purC;-2.689659834;-6.380821705;0.36513257;-6.380821705;no
glyA;-2.590744972;-6.643856049;-0.040971778;-6.506352901;no
purL;-2.244685173;-6.380821705;0.341416478;-6.506352901;no
purD;-3.680382013;-1.639354706;-0.61263752;-6.506352901;no
pykF;-2.490050793;-7.158429146;0.737254143;-6.795859337;no
guaB;-2.805912971;-3.98850441;-0.577766955;-6.795859337;no
purH;-3.625934362;-4.573466778;-0.508403361;-6.795859337;no
guaA;-2.95455718;-6.795859337;-0.454031587;-6.795859337;no
